TABLE_NAME,TABLE_SCHEMA,ENGINE,TABLE_ROWS,DATA_LENGTH,INDEX_LENGTH
leasing_reg,systemx,InnoDB,0,16384,32768
leg_utility_master,systemx,InnoDB,24989,1589248,0
lesseeName,systemx,InnoDB,0,16384,0
loginHistory,systemx,InnoDB,16446,1589248,0
mail_constant,systemx,InnoDB,6,16384,0
mail_sent_logs,systemx,InnoDB,3773,1589248,0
mandateType,systemx,InnoDB,11,16384,0
mandate_rejected,systemx,InnoDB,630642,112918528,0
manualBillUpload,systemx,InnoDB,3,16384,16384
manualBillUploadResponse,systemx,InnoDB,5,16384,0
manualMandate,systemx,InnoDB,3454644,3439329280,3915284480
manualMandateApiResponse,systemx,InnoDB,0,16384,0
manualMandateSwap,systemx,InnoDB,1318,2637824,786432
manualMandate_BKUP,systemx,InnoDB,0,16384,32768
manualMandate_ENACH_BKUP,systemx,InnoDB,0,16384,32768
manualMandate_map,systemx,InnoDB,421959,455081984,95256576
manualMandate_map001,systemx,InnoDB,16,16384,16384
manualProvisionupload,systemx,InnoDB,4857,1589248,245760
manufacturer,systemx,InnoDB,12,16384,0
mergeDebitTransaction,systemx,InnoDB,6402,1589248,180224
mergeStatus,systemx,InnoDB,799438,85557248,25755648
micr,systemx,InnoDB,192932,27852800,10518528
micr_reg_status,systemx,InnoDB,258,65536,0
model_no_gsm,systemx,InnoDB,807,98304,49152
model_no_nongsm,systemx,InnoDB,6097,475136,524288
months_master,systemx,InnoDB,1,16384,0
new_scan_reg_bank_list,systemx,InnoDB,17,16384,0
open_mandate_available_limit,systemx,InnoDB,0,16384,0
open_mandate_block_log,systemx,InnoDB,844024,279756800,0
open_mandate_contract,systemx,InnoDB,801155,288210944,203554816
open_mandate_contract_37_k,systemx,InnoDB,36893,11026432,4227072
open_mandate_contract_dummy,systemx,InnoDB,0,16384,0
open_mandate_contract_status_log,systemx,InnoDB,0,16384,0
open_mandate_enq_log,systemx,InnoDB,916629,49889280,0
open_mandate_file_log,systemx,InnoDB,2,16384,16384
opne_mandate_temp,systemx,InnoDB,91435,27869184,0
payment_api_logs,systemx,InnoDB,80089,11549016064,3686400
payment_enquiry_api_logs,systemx,InnoDB,223067,23679991808,17858560
